"LOC_NO","LOC_NAME","ENABLED","ADDR1","CITY","STATE","ZIP","COUNTRY","DOMAIN","TIMEZONE"
"10501508","Plaza Gala Placidia BARCELONA RACC","TRUE","PZ PLAZA GAL.LA PLACIDIA 1","BARCELONA","BARCELONA","08006","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501509","Pi i Margall BARCELONA RACC","TRUE","CL CALLE PI I MARGALL 86-88","BARCELONA","BARCELONA","08025","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501510","Galileu BARCELONA RACC","TRUE","CL CALLE GALILEU 293","BARCELONA","BARCELONA","08028","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501512","Padilla BARCELONA RACC","TRUE","CL CALLE PADILLA 228","BARCELONA","BARCELONA","08013","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501513","Paseo Fabra i Puig BARCELONA RACC","TRUE","RB RAMBLA FABRA I PUIG 86-86","BARCELONA","BARCELONA","08030","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501514","Ronda General Mitre BARCELONA RACC","TRUE","RD RONDA GENERAL MITRE 162","BARCELONA","BARCELONA","08006","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501515","Santalo BARCELONA RACC","TRUE","CL CALLE SANTALO 8","BARCELONA","BARCELONA","08021","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501516","Santa Amelia BARCELONA RACC","TRUE","CL CALLE SANTA AMELIA 45","BARCELONA","BARCELONA","08034","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501522","Rambla Anselm Clave BARCELONA RACC","TRUE","RB RAMBLA ANSELM CLAVE 20","CORNELLA DE LLOBREGAT","BARCELONA","08940","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501529","Avenida del Parc BARCELONA RACC","TRUE","AV AVENIDA DEL PARC 1","GRANOLLERS","BARCELONA","08400","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501532","Avenida Carrilet BARCELONA RACC","TRUE","AV AVENIDA CARRILET 321","L'HOSPITALET DE LLOBREGAT","BARCELONA","08907","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501538","Saclosa BARCELONA RACC","TRUE","CL CALLE SACLOSA 5","MANRESA","BARCELONA","08240","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501539","Sant Josep BARCELONA RACC","TRUE","CL CALLE SANT JOSEP 23","MATARO","BARCELONA","08302","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"10501547","Ronda Zamenhof BARCELONA RACC","TRUE","RD RONDA ZAMENHOF 127","SABADELL","BARCELONA","08201","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
